Mode: single
Input file: data/mt_bench/model_judgment/gpt-4.1-mini_single.jsonl

########## First turn ##########
                                                                                                                                 score
model                                                                                                                     turn        
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-2870    1     4.1875
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-2300  1     4.0250
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-2300    1     4.0000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-2300 1     3.9625
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-1150    1     3.9625
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-1725 1     3.9125
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-1725  1     3.9125
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-2870  1     3.9125
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-2870 1     3.9000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-1725    1     3.9000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-2870   1     3.8625
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-1150  1     3.8000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-1150   1     3.7750
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-1725   1     3.7625
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-1150 1     3.6625
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-2300   1     3.6500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-575    1     3.6000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-575     1     3.5625
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-575  1     3.5500
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-1150           1     3.4875
360-sft                                                                                                                   1     3.4500
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-575            1     3.4500
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-1725           1     3.4125
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-575   1     3.4000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-1150   1     3.3750
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-2300   1     3.3625
135-sft                                                                                                                   1     3.3000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-2870 1     3.2875
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-575    1     3.2875
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-1725   1     3.2875
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-2300    1     3.2750
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-2870    1     3.2250
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-1725    1     3.2125
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-2296           1     3.2000
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-1150           1     3.2000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-1725 1     3.2000
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-2870           1     3.1875
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-2870   1     3.1625
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-2300 1     3.1000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-1150 1     3.0500
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-1150    1     3.0375
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-2870  1     3.0125
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-575     1     3.0125
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-575  1     3.0125
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-575            1     3.0000
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-1725  1     2.9375
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-1150  1     2.9250
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-1725           1     2.9125
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-2300  1     2.9125
smollm2-135M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-575   1     2.9000
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-2300           1     2.7750
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-2870           1     2.7000
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-575           1     2.5750
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-575           1     2.3750
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-575                                1     2.1250
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-1150                               1     1.8625
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-2296          1     1.8000
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-1725          1     1.7500
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-1150          1     1.7250
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-2870          1     1.7125
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-1725                               1     1.6875
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-1150          1     1.6000
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-1725                               1     1.5500
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-2300                               1     1.5250
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-2296                               1     1.4625
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-1725          1     1.3750
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-2870                               1     1.3625
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-575                                1     1.3625
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-2870                               1     1.3375
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_no-v1_checkpoint-1150                               1     1.3250
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-2300          1     1.3000
smollm2-135M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_yes-v1_checkpoint-2870          1     1.2250
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-575                               1     1.1125
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-1150                              1     1.0500
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-575                               1     1.0125
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-1725                              1     1.0125
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-2870                              1     1.0125
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-2296                              1     1.0125
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-2300                              1     1.0125
smollm2-360M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-1150                              1     1.0000
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-1725                              1     1.0000
smollm2-135M-orca_bin_ultra-offline-dpo-beta_0.01-lr_0.0007-avg_logps_yes-v1_checkpoint-2870                              1     1.0000

########## Second turn ##########
                                                                                                                                   score
model                                                                                                                     turn          
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-2300    2     3.125000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-2870 2     3.062500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-1725    2     3.062500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-2300 2     3.000000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-no-entropy_checkpoint-1150   2     3.000000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-2870  2     2.962500
smollm2-360M-orca_bin_ultra-offline-simpo-beta_0.01-lr_0.0001-gamma-to-beta_1.2-avg_logps_no-v1_checkpoint-1150           2     2.937500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_yes-v1-with-entropy_checkpoint-1725 2     2.912500
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-no-entropy_checkpoint-2870    2     2.912500
360-sft                                                                                                                   2     2.900000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-2300  2     2.900000
smollm2-360M-orca_bin_ultra-offline-mmpo-beta_0.01-lr_0.0001-reward_eps_0.5-avg_logps_no-v1-with-entropy_checkpoint-1725  2     2.875000
